Date,Price,Open,High,Low,Vol.,Change %,Bank
12/06/2023,"28,700.0","28,500.0","28,900.0","28,300.0",1.47M,0.35%,CTS
12/05/2023,"28,600.0","28,600.0","28,700.0","28,200.0",1.45M,0.00%,CTS
12/04/2023,"28,600.0","28,400.0","29,300.0","28,100.0",2.58M,3.81%,CTS
12/01/2023,"27,550.0","27,350.0","27,600.0","26,700.0",1.90M,1.85%,CTS
11/30/2023,"27,050.0","27,500.0","27,800.0","26,900.0",1.78M,-0.92%,CTS
11/29/2023,"27,300.0","27,200.0","27,500.0","27,000.0",1.35M,1.11%,CTS
11/28/2023,"27,000.0","26,400.0","27,000.0","25,650.0",1.56M,1.89%,CTS
11/27/2023,"26,500.0","27,300.0","27,400.0","26,500.0",1.14M,-2.93%,CTS
11/24/2023,"27,300.0","26,600.0","27,500.0","25,500.0",2.73M,3.41%,CTS
11/23/2023,"26,400.0","28,500.0","28,650.0","26,400.0",2.26M,-6.88%,CTS
11/22/2023,"28,350.0","27,550.0","28,400.0","27,300.0",2.23M,2.90%,CTS
11/21/2023,"27,550.0","27,650.0","27,700.0","27,150.0",1.81M,1.10%,CTS
11/20/2023,"27,250.0","25,300.0","27,450.0","25,300.0",2.83M,5.62%,CTS
11/17/2023,"25,800.0","26,600.0","26,900.0","25,500.0",2.74M,-3.01%,CTS
11/16/2023,"26,600.0","25,550.0","26,600.0","25,550.0",1.18M,2.70%,CTS
11/15/2023,"25,900.0","27,100.0","27,100.0","25,900.0",1.65M,-0.19%,CTS
11/14/2023,"25,950.0","26,500.0","26,600.0","25,600.0",2.04M,0.97%,CTS
11/13/2023,"25,700.0","25,100.0","25,800.0","25,000.0",1.66M,2.59%,CTS
11/10/2023,"25,050.0","25,000.0","26,300.0","24,850.0",2.41M,-1.96%,CTS
11/09/2023,"25,550.0","25,900.0","26,400.0","25,100.0",2.26M,2.61%,CTS
11/08/2023,"24,900.0","23,000.0","24,900.0","22,950.0",2.62M,6.87%,CTS
11/07/2023,"23,300.0","23,100.0","23,650.0","22,650.0",1.83M,0.87%,CTS
11/06/2023,"23,100.0","22,500.0","23,250.0","22,250.0",1.59M,3.82%,CTS
11/03/2023,"22,250.0","22,750.0","22,750.0","21,950.0",2.34M,0.23%,CTS
11/02/2023,"22,200.0","21,300.0","22,200.0","21,000.0",1.88M,6.99%,CTS
11/01/2023,"20,750.0","19,800.0","20,750.0","19,000.0",2.07M,6.96%,CTS
10/31/2023,"19,400.0","21,000.0","21,300.0","19,400.0",2.06M,-6.73%,CTS
10/30/2023,"20,800.0","21,950.0","22,300.0","20,800.0",965.20K,-6.73%,CTS
10/27/2023,"22,300.0","22,000.0","22,400.0","20,700.0",1.82M,2.76%,CTS
10/26/2023,"21,700.0","22,100.0","22,450.0","21,700.0",2.54M,-6.87%,CTS
10/25/2023,"23,300.0","24,150.0","24,200.0","23,100.0",1.35M,-2.92%,CTS
10/24/2023,"24,000.0","23,850.0","24,000.0","23,050.0",1.33M,1.69%,CTS
10/23/2023,"23,600.0","23,300.0","24,200.0","23,150.0",2.05M,2.16%,CTS
