"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2024","18,100.0","18,250.0","18,450.0","17,800.0","1.85M","0.00%"
"03/01/2024","18,100.0","17,650.0","18,500.0","17,500.0","3.49M","3.72%"
"02/29/2024","17,450.0","17,400.0","17,800.0","17,300.0","2.74M","0.87%"
"02/28/2024","17,300.0","17,500.0","17,500.0","17,100.0","1.12M","-0.57%"
"02/27/2024","17,400.0","17,350.0","17,650.0","17,150.0","1.60M","0.58%"
"02/26/2024","17,300.0","16,600.0","17,300.0","16,500.0","2.08M","3.59%"
"02/23/2024","16,700.0","17,250.0","17,300.0","16,150.0","2.62M","-2.62%"
"02/22/2024","17,150.0","17,400.0","17,500.0","17,100.0","1.14M","-1.44%"
"02/21/2024","17,400.0","17,500.0","17,500.0","17,200.0","877.70K","-0.57%"
"02/20/2024","17,500.0","17,300.0","17,750.0","17,300.0","2.71M","1.74%"
"02/19/2024","17,200.0","17,350.0","17,350.0","16,900.0","1.72M","-0.58%"
"02/16/2024","17,300.0","17,400.0","17,550.0","17,150.0","1.31M","0.00%"
"02/15/2024","17,300.0","17,400.0","17,450.0","17,150.0","1.20M","-0.29%"
"02/07/2024","17,350.0","17,300.0","17,500.0","17,150.0","1.21M","0.00%"
"02/06/2024","17,350.0","17,300.0","17,650.0","17,100.0","1.18M","0.58%"
"02/05/2024","17,250.0","17,200.0","17,500.0","17,000.0","1.34M","0.29%"
"02/02/2024","17,200.0","17,000.0","17,350.0","17,000.0","3.70M","2.08%"
"02/01/2024","16,850.0","16,400.0","16,850.0","16,400.0","1.19M","2.74%"
"01/31/2024","16,400.0","16,650.0","17,150.0","16,400.0","2.62M","-0.91%"
"01/30/2024","16,550.0","16,500.0","16,550.0","16,300.0","1.01M","0.30%"
"01/29/2024","16,500.0","16,600.0","16,750.0","16,500.0","522.40K","-0.60%"
"01/26/2024","16,600.0","16,650.0","16,700.0","16,500.0","653.90K","0.00%"
"01/25/2024","16,600.0","16,700.0","16,800.0","16,500.0","512.90K","0.00%"
"01/24/2024","16,600.0","16,600.0","16,900.0","16,500.0","1.53M","0.00%"
"01/23/2024","16,600.0","16,700.0","16,800.0","16,500.0","809.60K","-0.60%"
"01/22/2024","16,700.0","16,600.0","16,750.0","16,350.0","1.13M","1.52%"
"01/19/2024","16,450.0","16,700.0","16,800.0","16,400.0","991.10K","-0.30%"
"01/18/2024","16,500.0","16,600.0","16,950.0","16,350.0","1.50M","-0.60%"
"01/17/2024","16,600.0","16,550.0","17,250.0","16,400.0","2.03M","0.61%"
"01/16/2024","16,500.0","16,100.0","16,500.0","16,050.0","1.06M","1.85%"
"01/15/2024","16,200.0","16,650.0","16,800.0","16,200.0","1.40M","-2.41%"
"01/12/2024","16,600.0","16,500.0","16,950.0","16,500.0","1.59M","-1.19%"
"01/11/2024","16,800.0","16,600.0","17,000.0","16,550.0","1.68M","1.51%"
"01/10/2024","16,550.0","16,850.0","16,900.0","16,350.0","1.67M","-1.78%"
"01/09/2024","16,850.0","17,200.0","17,200.0","16,700.0","1.63M","-0.88%"
"01/08/2024","17,000.0","16,500.0","17,100.0","16,500.0","3.66M","3.66%"
"01/05/2024","16,400.0","16,400.0","16,500.0","16,200.0","1.20M","0.61%"
"01/04/2024","16,300.0","16,150.0","16,600.0","16,050.0","3.41M","1.56%"
"01/03/2024","16,050.0","15,900.0","16,050.0","15,850.0","913.00K","0.94%"
"01/02/2024","15,900.0","16,450.0","16,450.0","15,900.0","1.30M","-0.93%"
"12/29/2023","16,050.0","16,200.0","16,200.0","16,000.0","746.60K","-0.31%"
"12/28/2023","16,100.0","16,150.0","16,200.0","16,050.0","969.10K","-0.62%"
"12/27/2023","16,200.0","16,050.0","16,300.0","16,000.0","1.47M","1.25%"
"12/26/2023","16,000.0","15,950.0","16,100.0","15,850.0","796.30K","0.63%"
"12/25/2023","15,900.0","15,800.0","16,100.0","15,600.0","1.90M","-0.31%"
"12/22/2023","15,950.0","16,050.0","16,250.0","15,800.0","1.24M","-0.62%"
"12/21/2023","16,050.0","15,900.0","16,100.0","15,800.0","696.80K","-0.31%"
"12/20/2023","16,100.0","15,950.0","16,250.0","15,900.0","831.90K","0.94%"
"12/19/2023","15,950.0","15,700.0","15,950.0","15,450.0","953.20K","1.59%"
"12/18/2023","15,700.0","15,900.0","15,900.0","15,550.0","1.04M","-1.26%"
"12/15/2023","15,900.0","15,850.0","16,200.0","15,800.0","1.31M","0.32%"
"12/14/2023","15,850.0","16,100.0","16,100.0","15,700.0","1.06M","0.32%"
"12/13/2023","15,800.0","16,000.0","16,300.0","15,700.0","1.54M","-0.94%"
"12/12/2023","15,950.0","16,050.0","16,250.0","15,950.0","706.20K","-0.62%"
"12/11/2023","16,050.0","16,150.0","16,150.0","15,750.0","1.52M","0.00%"
"12/08/2023","16,050.0","16,350.0","16,400.0","15,800.0","1.29M","-1.83%"
"12/07/2023","16,350.0","16,850.0","16,900.0","15,750.0","5.08M","-2.68%"
"12/06/2023","16,800.0","16,650.0","16,850.0","16,500.0","1.77M","1.20%"
"12/05/2023","16,600.0","16,700.0","16,850.0","16,500.0","1.70M","-0.30%"
"12/04/2023","16,650.0","16,050.0","16,700.0","15,900.0","4.04M","6.39%"
"12/01/2023","15,650.0","15,600.0","15,700.0","15,250.0","1.14M","1.62%"
"11/30/2023","15,400.0","15,600.0","15,850.0","15,400.0","2.13M","-1.28%"
"11/29/2023","15,600.0","15,650.0","15,750.0","15,400.0","1.59M","1.30%"
"11/28/2023","15,400.0","15,200.0","15,400.0","14,850.0","1.41M","1.65%"
"11/27/2023","15,150.0","15,400.0","15,500.0","15,100.0","857.60K","-2.26%"
"11/24/2023","15,500.0","15,000.0","15,500.0","14,400.0","3.05M","4.73%"
"11/23/2023","14,800.0","16,200.0","16,200.0","14,800.0","2.23M","-6.92%"
"11/22/2023","15,900.0","15,700.0","15,900.0","15,500.0","1.91M","1.60%"
"11/21/2023","15,650.0","15,750.0","15,900.0","15,500.0","1.76M","0.97%"
"11/20/2023","15,500.0","14,700.0","15,800.0","14,550.0","2.33M","3.33%"
"11/17/2023","15,000.0","15,450.0","15,550.0","14,800.0","2.84M","-2.91%"
"11/16/2023","15,450.0","15,000.0","15,450.0","14,850.0","1.49M","3.00%"
"11/15/2023","15,000.0","15,450.0","15,600.0","15,000.0","2.20M","0.33%"
"11/14/2023","14,950.0","15,200.0","15,350.0","14,900.0","2.25M","1.01%"
"11/13/2023","14,800.0","14,950.0","15,200.0","14,600.0","1.73M","-0.67%"
"11/10/2023","14,900.0","14,550.0","15,500.0","14,550.0","2.57M","-0.33%"
"11/09/2023","14,950.0","15,200.0","15,300.0","14,750.0","2.76M","3.46%"
"11/08/2023","14,450.0","13,600.0","14,450.0","13,400.0","2.66M","6.64%"
"11/07/2023","13,550.0","13,600.0","13,950.0","13,400.0","1.33M","-1.09%"
"11/06/2023","13,700.0","13,700.0","13,850.0","13,200.0","1.06M","1.86%"
"11/03/2023","13,450.0","13,700.0","13,700.0","13,250.0","2.11M","0.37%"
"11/02/2023","13,400.0","12,850.0","13,400.0","12,700.0","1.85M","6.77%"
"11/01/2023","12,550.0","11,750.0","12,550.0","11,400.0","1.87M","6.81%"
"10/31/2023","11,750.0","12,600.0","12,800.0","11,700.0","1.82M","-6.00%"
"10/30/2023","12,500.0","13,050.0","13,350.0","12,500.0","1.02M","-4.58%"
"10/27/2023","13,100.0","13,050.0","13,450.0","12,450.0","1.48M","-0.38%"
"10/26/2023","13,150.0","13,700.0","13,700.0","13,150.0","2.82M","-6.74%"
"10/25/2023","14,100.0","14,350.0","14,600.0","14,100.0","1.35M","-1.40%"
"10/24/2023","14,300.0","14,100.0","14,300.0","13,850.0","1.16M","2.14%"
"10/23/2023","14,000.0","14,600.0","14,650.0","13,800.0","1.69M","-4.11%"
"10/20/2023","14,600.0","13,950.0","14,700.0","13,100.0","2.90M","4.66%"
"10/19/2023","13,950.0","15,000.0","15,000.0","13,950.0","3.04M","-6.69%"
"10/18/2023","14,950.0","15,700.0","15,850.0","14,500.0","4.26M","-3.86%"
"10/17/2023","15,550.0","16,850.0","16,900.0","15,550.0","2.41M","-6.89%"
"10/16/2023","16,700.0","17,050.0","17,100.0","16,500.0","1.61M","-1.47%"
"10/13/2023","16,950.0","17,050.0","17,400.0","16,550.0","2.38M","-2.02%"
"10/12/2023","17,300.0","17,700.0","17,750.0","17,200.0","1.72M","-1.14%"
"10/11/2023","17,500.0","16,700.0","17,500.0","16,500.0","2.77M","5.74%"
"10/10/2023","16,550.0","16,700.0","16,800.0","16,500.0","2.50M","1.53%"
"10/09/2023","16,300.0","16,150.0","16,500.0","16,100.0","1.57M","1.24%"
"10/06/2023","16,100.0","15,750.0","16,500.0","15,350.0","1.68M","1.90%"
"10/05/2023","15,800.0","16,650.0","16,850.0","15,550.0","1.62M","-4.24%"
"10/04/2023","16,500.0","15,150.0","17,000.0","15,150.0","2.53M","-0.30%"
